,,,,,,,,,,Misc,,,,Games,,Passing,,,,,,Rushing,,,Receiving,,,,,,
Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,QBrec,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,2019,1,1,Kyler Murray,QB,22,ARI,2019,2019,0,0,1,14,16,16,5/10/2001,349,542,3722,20,12,93,544,4,,,,,,Oklahoma,College Stats
2,2019,1,2,Nick Bosa,DE,21,SFO,2019,2019,0,1,1,11,16,14,,,,,,,,,,,,,1,9,Ohio St.,College Stats
3,2019,1,3,Quinnen Williams,DT,21,NYJ,2019,2019,0,0,1,5,13,9,,,,,,,,,,,,,,2.5,Alabama,College Stats
4,2019,1,4,Clelin Ferrell,DE,22,OAK,2019,2019,0,0,1,7,15,15,,,,,,,,,,,,,,4.5,Clemson,College Stats
5,2019,1,5,Devin White,LB,21,TAM,2019,2019,0,0,1,8,13,13,,,,,,,,,,,,,1,2.5,LSU,College Stats
6,2019,1,6,Daniel Jones,QB,22,NYG,2019,2019,0,0,1,9,13,12,3/9/2000,284,459,3027,24,12,45,279,2,,,,,,Duke,College Stats
7,2019,1,7,Josh Allen,LB,22,JAX,2019,2019,0,1,0,6,16,4,,,,,,,,,,,,,,10.5,Kentucky,College Stats
8,2019,1,8,T.J. Hockenson,TE,22,DET,2019,2019,0,0,0,3,12,7,,,,,,,,,,32,367,2,,,Iowa,College Stats
9,2019,1,9,Ed Oliver,DT,21,BUF,2019,2019,0,0,0,6,16,7,,,,,,,,,,,,,,5,Houston,College Stats
10,2019,1,10,Devin Bush Jr.,LB,21,PIT,2019,2019,0,0,0,9,16,15,,,,,,,,,,,,,2,1,Michigan,College Stats
11,2019,1,11,Jonah Williams,G,21,CIN,,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats
12,2019,1,12,Rashan Gary,LB,21,GNB,2019,2019,0,0,0,2,16,0,,,,,,,,,,,,,,2,Michigan,College Stats
13,2019,1,13,Christian Wilkins,DT,23,MIA,2019,2019,0,0,1,5,16,14,,,,,,,,,,1,1,1,,2,Clemson,College Stats
14,2019,1,14,Chris Lindstrom,G,22,ATL,2019,2019,0,0,0,2,5,5,,,,,,,,,,,,,,,Boston Col.,College Stats
15,2019,1,15,Dwayne Haskins,QB,22,WAS,2019,2019,0,0,0,3,9,7,2/5/2000,119,203,1365,7,7,20,101,0,,,,,,Ohio St.,College Stats
16,2019,1,16,Brian Burns,DE,21,CAR,2019,2019,0,0,0,4,16,5,,,,,,,,,,,,,,7.5,Florida St.,College Stats
17,2019,1,17,Dexter Lawrence,DT,21,NYG,2019,2019,0,0,1,7,16,16,,,,,,,,,,,,,,2.5,Clemson,College Stats
18,2019,1,18,Garrett Bradbury,C,24,MIN,2019,2019,0,0,1,8,16,16,,,,,,,,,,1,-4,0,,,North Carolina St.,College Stats
19,2019,1,19,Jeffery Simmons,DT,22,TEN,2019,2019,0,0,1,4,9,7,,,,,,,,,,,,,,2,Mississippi St.,College Stats
20,2019,1,20,Noah Fant,TE,21,DEN,2019,2019,0,0,1,4,16,11,,,,,,,3,-12,0,40,562,3,,,Iowa,College Stats
21,2019,1,21,Darnell Savage Jr.,S,22,GNB,2019,2019,0,0,1,5,14,14,,,,,,,,,,,,,2,,Maryland,College Stats
22,2019,1,22,Andre Dillard,T,23,PHI,2019,2019,0,0,0,3,16,4,,,,,,,,,,,,,,,Washington St.,College Stats
23,2019,1,23,Tytus Howard,T,23,HOU,2019,2019,0,0,1,5,8,8,,,,,,,,,,,,,,,Alabama St.,
24,2019,1,24,Josh Jacobs,RB,21,OAK,2019,2019,0,0,1,8,13,13,,,,,,,242,1150,7,20,166,0,,,Alabama,College Stats
25,2019,1,25,Marquise Brown,WR,22,BAL,2019,2019,0,0,0,8,14,11,,,,,,,,,,46,584,7,,,Oklahoma,College Stats
26,2019,1,26,Montez Sweat,DE,23,WAS,2019,2019,0,0,1,6,16,16,,,,,,,,,,,,,,7,Mississippi St.,College Stats
27,2019,1,27,Johnathan Abram,S,22,OAK,2019,2019,0,0,0,0,1,1,,,,,,,,,,,,,,,Mississippi St.,College Stats
28,2019,1,28,Jerry Tillery,DT,22,LAC,2019,2019,0,0,0,2,15,3,,,,,,,,,,,,,,2,Notre Dame,College Stats
29,2019,1,29,L.J. Collier,DE,23,SEA,2019,2019,0,0,0,1,11,0,,,,,,,,,,,,,,,TCU,College Stats
30,2019,1,30,Deandre Baker,CB,22,NYG,2019,2019,0,0,1,5,16,15,,,,,,,,,,,,,,,Georgia,College Stats
31,2019,1,31,Kaleb McGary,T,24,ATL,2019,2019,0,0,1,9,16,16,,,,,,,,,,1,-3,0,,,Washington,College Stats
32,2019,1,32,N'Keal Harry,WR,21,NWE,2019,2019,0,0,0,1,7,5,,,,,,,5,49,0,12,105,2,,,Arizona St.,College Stats
33,2018,1,1,Baker Mayfield,QB,23,CLE,2018,2019,0,0,2,21,30,29,12/17/2000,627,1020,7552,49,35,67,272,3,,,,,,Oklahoma,College Stats
34,2018,1,2,Saquon Barkley,RB,21,NYG,2018,2019,0,1,2,23,29,29,,,,,,,478,2310,17,143,1159,6,,,Penn St.,College Stats
35,2018,1,3,Sam Darnold,QB,21,NYJ,2018,2019,0,0,2,13,26,26,11/15/2000,512,855,5889,36,28,77,200,3,,,,,,USC,College Stats
36,2018,1,4,Denzel Ward,CB,21,CLE,2018,2019,0,1,2,13,25,24,,,,,,,,,,,,,5,,Ohio St.,College Stats
37,2018,1,5,Bradley Chubb,DE,22,DEN,2018,2019,0,0,1,10,20,20,,,,,,,,,,,,,,13,North Carolina St.,College Stats
38,2018,1,6,Quenton Nelson,G,22,IND,2018,2019,2,2,2,29,32,32,,,,,,,1,0,0,,,,,,Notre Dame,College Stats
39,2018,1,7,Josh Allen,QB,22,BUF,2018,2019,0,0,2,17,28,27,15-12-0,440,781,5163,30,21,198,1141,17,,,,,,Wyoming,College Stats
40,2018,1,8,Roquan Smith,ILB,21,CHI,2018,2019,0,0,2,16,28,26,,,,,,,,,,,,,2,7,Georgia,College Stats
41,2018,1,9,Mike McGlinchey,T,24,SFO,2018,2019,0,0,2,16,28,28,,,,,,,,,,,,,,,Notre Dame,College Stats
42,2018,1,10,Josh Rosen,QB,21,ARI,2018,2019,0,0,1,3,20,16,3/13/2000,275,502,2845,12,19,26,151,0,,,,,,UCLA,College Stats
43,2018,1,11,Minkah Fitzpatrick,S,21,MIA,2018,2019,1,1,1,23,32,27,,,,,,,,,,,,,7,,Alabama,College Stats
44,2018,1,12,Vita Vea,DT,23,TAM,2018,2019,0,0,1,6,29,9,,,,,,,,,,1,1,1,,5.5,Washington,College Stats
45,2018,1,13,Da'Ron Payne,DT,21,WAS,2018,2019,0,0,2,12,31,25,,,,,,,,,,,,,,7,Alabama,College Stats
46,2018,1,14,Marcus Davenport,DE,22,NOR,2018,2019,0,0,1,7,26,13,,,,,,,,,,,,,,10.5,Texas-San Antonio,College Stats
47,2018,1,15,Kolton Miller,T,22,OAK,2018,2019,0,0,2,15,32,32,,,,,,,,,,,,,,,UCLA,College Stats
48,2018,1,16,Tremaine Edmunds,ILB,20,BUF,2018,2019,0,1,2,23,31,31,,,,,,,,,,,,,3,3.5,Virginia Tech,College Stats
49,2018,1,17,Derwin James,S,22,LAC,2018,2019,1,1,1,11,21,21,,,,,,,,,,,,,3,3.5,Florida St.,College Stats
50,2018,1,18,Jaire Alexander,CB,21,GNB,2018,2019,0,0,2,11,29,27,,,,,,,,,,,,,3,0.5,Louisville,College Stats
51,2018,1,19,Leighton Vander Esch,OLB,22,DAL,2018,2019,0,1,2,16,25,20,,,,,,,,,,,,,2,0.5,Boise St.,College Stats
