Year,Player,Position,Age,School,Height,Weight,40 Yard Dash,Vertical,Bench Reps,Broad Jump,3Cone,Shuttle,Round,Team,Conference
2020,Jedrick Wills,OL,20,Alabama,6.4 ft,312,5.05,34.5,N/A,113,N/A,4.84,1,Cleveland Browns,SEC
2020,Jerry Jeudy,WR,20,Alabama,6.1 ft,193,4.45,35,N/A,120,N/A,4.53,1,Denver Broncos,SEC
2020,Henry Ruggs III,WR,21,Alabama,5.11 ft,188,4.27,42,N/A,131,N/A,N/A,1,Las Vegas Raiders,SEC
2020,Tua Tagovailoa,QB,22,Alabama,6.1 ft,217,N/A,N/A,N/A,N/A,N/A,N/A,1,Miami Dolphins,SEC
2020,Xavier McKinney,S,N/A,Alabama,6.1 ft,201,4.63,36,19,122,N/A,N/A,2,New York Giants,SEC
2020,Terrell Lewis,LB,N/A,Alabama,6.5 ft,262,N/A,37,N/A,124,N/A,N/A,3,Los Angeles Rams,SEC
2020,Anfernee Jennings,LB,22,Alabama,6.2 ft,256,N/A,N/A,N/A,N/A,N/A,N/A,3,New England Patriots,SEC
2020,J.J. Taylor,RB,N/A,Arizona,5.5 ft,185,4.61,34.5,19,118,7,4.15,N/A,N/A,Pac 12
2020,Michael Turk,P,N/A,Arizona State,6.1 ft,226,4.79,34.5,25,108,N/A,4.72,N/A,N/A,Pac 12
2020,C.J. O'Grady,TE,N/A,Arkansas,6.4 ft,253,4.81,34,16,119,7.3,4.34,N/A,N/A,SEC
2020,Noah Igbinoghene,CB,20,Auburn,5.10 ft,198,4.48,37,15,128,N/A,N/A,1,Miami Dolphins,SEC
2020,Daniel Thomas,S,N/A,Auburn,5.10 ft,215,4.51,37,24,125,N/A,N/A,5,Jacksonville Jaguars,SEC
2020,Prince Tega Wanogho,OL,22,Auburn,6.5 ft,308,N/A,N/A,N/A,N/A,N/A,N/A,6,Philadelphia Eagles,SEC
2020,Arryn Siposs,P,N/A,Auburn,6.2 ft,213,5.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SEC
2020,Danny Pinter,OL,N/A,Ball State,6.4 ft,306,4.91,29.5,24,110,7.76,4.62,5,Indianapolis Colts,MAC
2020,Denzel Mims,WR,22,Baylor,6.3 ft,207,4.38,38.5,16,131,6.66,4.43,2,New York Jets,Big 12
2020,James Lynch,DL,N/A,Baylor,6.4 ft,289,5.01,29,23,111,7.39,4.39,4,Minnesota Vikings,Big 12
2020,Clay Johnston,LB,N/A,Baylor,6.1 ft,227,N/A,N/A,18,N/A,N/A,N/A,7,Los Angeles Rams,Big 12
2020,Chris Miller,S,N/A,Baylor,5.11 ft,190,4.61,35.5,12,133,7.09,4.12,N/A,N/A,Big 12
2020,Curtis Weaver,LB,N/A,Boise State,6.2 ft,265,N/A,32.5,N/A,116,7,4.27,5,Miami Dolphins,MW
2020,John Hightower,WR,N/A,Boise State,6.1 ft,189,4.43,38.5,N/A,122,7.07,4.21,5,Philadelphia Eagles,MW
2020,John Molchon,OL,N/A,Boise State,6.5 ft,309,5.13,34,26,109,7.85,4.73,N/A,N/A,MW
2020,Alex Pechin,P,N/A,Bucknell,6.1 ft,213,4.69,34,13,N/A,N/A,N/A,N/A,N/A,Patriot
2020,Evan Weaver,LB,N/A,California,6.2 ft,237,4.76,32,15,117,7.02,4.21,6,Arizona Cardinals,Pac 12
2020,Alex Highsmith,DL,22,Charlotte,6.3 ft,248,4.7,33,N/A,125,7.32,4.31,3,Pittsburgh Steelers,C-USA
2020,Benny LeMay,RB,N/A,Charlotte,5.8 ft,221,4.75,28.5,24,112,N/A,N/A,N/A,N/A,C-USA
2020,Mike Warren,RB,N/A,Cincinnati,5.9 ft,226,N/A,N/A,16,N/A,N/A,N/A,N/A,N/A,AAC
2020,A.J. Terrell,CB,21,Clemson,6.1 ft,195,4.42,34.5,15,129,N/A,N/A,1,Atlanta Falcons,ACC
2020,Isaiah Simmons,LB,21,Clemson,6.4 ft,238,4.39,39,N/A,132,N/A,N/A,1,Arizona Cardinals,ACC
2020,Tee Higgins,WR,21,Clemson,6.4 ft,216,N/A,N/A,N/A,N/A,N/A,N/A,2,Cincinatti Bengals,ACC
2020,Tanner Muse,S,23,Clemson,6.2 ft,227,4.41,34.5,20,124,N/A,N/A,3,Las Vegas Raiders,ACC
2020,John Simpson,OL,N/A,Clemson,6.4 ft,321,5.24,30,34,107,8.03,4.87,4,Las Vegas Raiders,ACC
2020,K'Von Wallace,S,N/A,Clemson,5.11 ft,206,4.53,38,18,133,6.76,4.15,4,Philadelphia Eagles,ACC
2020,Laviska Shenault Jr.,WR,21,Colorado,6.1 ft,227,4.58,N/A,17,N/A,N/A,N/A,2,Jacksonville Jaguars,Big 12
2020,Davion Taylor,LB,21,Colorado,6.1 ft,228,4.49,35,21,127,6.96,4.26,3,Philadelphia Eagles,Big 12
2020,Steven Montez,QB,N/A,Colorado,6.4 ft,231,4.68,33,N/A,117,7.25,4.43,N/A,N/A,Big 12
2020,Matt Peart,OL,N/A,Connecticut,6.7 ft,318,5.06,30,26,113,8.01,4.92,3,New York Giants,The American
2020,Adam Trautman,TE,N/A,Dayton,6.5 ft,255,4.8,34.5,18,114,6.78,4.27,3,New Orleans Saints,Pioneer
2020,Van Jefferson,WR,23,Florida,6.1 ft,200,N/A,N/A,N/A,N/A,N/A,N/A,2,Los Angeles Rams,SEC
2020,Jabari Zuniga,DL,N/A,Florida,6.3 ft,264,4.64,33,29,127,N/A,N/A,3,New York Jets,SEC
2020,La'Mical Perine,RB,22,Florida,5.11 ft,216,4.62,35,22,118,7.13,4.31,4,New York Jets,SEC
2020,Freddie Swain,WR,N/A,Florida,6.1 ft,197,4.46,36.5,16,124,7.05,4.26,6,Seattle Seahawks,SEC
2020,Tommy Townsend,P,N/A,Florida,6.1 ft,191,4.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SEC
2020,James Pierre,CB,N/A,Florida Atlantic,6.1 ft,183,4.59,33.5,N/A,123,7.02,N/A,N/A,N/A,C-USA
2020,James Morgan,QB,23,Florida International,6.4 ft,229,4.89,29,N/A,112,7.51,4.64,4,New York Jets,C-USA
2020,Stantley Thomas-Oliver,CB,N/A,Florida International,6.1 ft,192,4.48,34,N/A,127,N/A,N/A,7,Carolina Panthers,C-USA
2020,Stanford Samuels,CB,N/A,Florida State,6.1 ft,187,4.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ACC
2020,Mykal Walker,LB,N/A,Fresno State,6.3 ft,230,4.65,33,20,122,7.09,4.25,4,Atlanta Falcons,ACC
2020,Netane Muti,OL,N/A,Fresno State,6.3 ft,315,N/A,N/A,44,N/A,N/A,N/A,6,Denver Broncos,ACC
2020,Andrew Thomas,OL,21,Georgia,6.5 ft,315,5.22,30.5,21,109,7.58,4.66,1,New York Giants,SEC
2020,Isaiah Wilson,OL,21,Georgia,6.6 ft,350,5.32,29,26,110,8.26,5.07,1,Tennessee Titans,SEC
2020,D'Andre Swift,RB,21,Georgia,5.8 ft,212,4.48,35.5,N/A,121,N/A,N/A,2,Detroit Lions,SEC
